#DESTABILIZING ENERGIES BY SIZE OF LOOP (INTERPOLATE WHERE NEEDED)
#hp3 ave calc no tmm;hp4 ave calc with tmm; ave all bulges
#SIZE         INTERNAL          BULGE            HAIRPIN
#-------------------------------------------------------
1               .                3.8               .
2               .                2.8               .
3               .                3.2              3.4
4              2.5               3.5              3.4
5              2.7               3.8              3.5
6              2.9               4.0              4.2
7              3.1               4.2              4.2
8              3.2               4.3              4.2
9              3.4               4.4              4.3
10             3.5               4.5              4.4
11             3.6               4.6              4.5
12             3.7               4.7              4.6
13             3.8               4.8              4.7
14             3.9               4.9              4.8
15             3.9               5.0              5.0
16             4.0               5.0              5.1
17             4.1               5.1              5.2
18             4.1               5.2              5.3
19             4.2               5.2              5.4
20             4.2               5.3              5.5
21             4.3               5.3              5.6
22             4.3               5.4              5.7
23             4.4               5.4              5.8
24             4.4               5.5              5.9
25             4.5               5.5              6.0
26             4.5               5.6              6.1
27             4.6               5.6              6.2
28             4.6               5.6              6.3
29             4.6               5.7              6.4
30             4.7               5.7              6.5
#
